level,lesson_order,lesson_title,greek,russian,example
A2,4,Урок 4,το εισιτήριο,билет,
A2,4,Урок 4,το μεταπτυχιακό,магистратура,
A2,4,Урок 4,το διδακτορικό,докторантура,
A2,4,Урок 4,η εργασία,"работа, труд, письменная работа",
A2,4,Урок 4,η μπίρα,пиво,
A2,4,Урок 4,το σουβλάκι,шашлык,
A2,4,Урок 4,το κεφάλι,голова,
A2,4,Урок 4,το καλοκαίρι,"лето, летом",
A2,4,Урок 4,η μπλούζα,блузка,
A2,4,Урок 4,η αίτηση,"заявление, прошение",
A2,4,Урок 4,η συμμετοχή,участие,
A2,4,Урок 4,οι σπουδές,учёба,
A2,4,Урок 4,οι προσωπικές πληροφορίες,личная информация,
A2,4,Урок 4,τα κεφαλαία γράμματα,заглавные буквы,
A2,4,Урок 4,το φύλο,пол,
A2,4,Урок 4,η ημερομηνία γέννησης,дата рождения,
A2,4,Урок 4,το διαβατήριο (ο αριθμός διαβατηρίου),паспорт (номер паспорта),
A2,4,Урок 4,η ταυτότητα ( ο αριθμός ταυτότητας),удостоверение личности,
A2,4,Урок 4,ο / η κτηνίατρος,ветеринар,
A2,4,Урок 4,ο γυμναστής / η γυμνάστρια,"инструктор в спортзале, учитель физкультуры",
A2,4,Урок 4,ο ξυλουργός,плотник,
A2,4,Урок 4,ιδιωτικός,частный,
A2,4,Урок 4,ξένος,иностранный,
A2,4,Урок 4,φιλικός,дружелюбный,
A2,4,Урок 4,καλός,хороший,
A2,4,Урок 4,πλήρης,полный,
A2,4,Урок 4,πρωινός,утренний,
A2,4,Урок 4,λίγο,немного,
A2,4,Урок 4,καθόλου,совсем (не),
A2,4,Урок 4,αρκετά,достаточно,
A2,4,Урок 4,αγαπώ / αγαπάω (1),любить,
A2,4,Урок 4,μιλώ / μιλάω (1),говорить,
A2,4,Урок 4,ζητώ / ζητάω (1),"просить, требовать, искать (человека)",
A2,4,Урок 4,βοηθώ / βοηθάω (1),помогать,
A2,4,Урок 4,μελετώ / μελετάω (1),изучать,
A2,4,Урок 4,διψώ / διψάω (1),хотеть пить,
A2,4,Урок 4,πεινώ / πεινάω (1),хотеть есть,
A2,4,Урок 4,τραγουδώ / τραγουδάω (1),петь,
A2,4,Урок 4,πονώ / πονάω (1),чувствовать боль,
A2,4,Урок 4,ρωτώ / ρωτάω (1),спрашивать,
A2,4,Урок 4,απαντώ / απαντάω (1),отвечать,
A2,4,Урок 4,σταματώ / σταματάω (1),останавливаться,
A2,4,Урок 4,φορώ / φοράω (1),носить,
A2,4,Урок 4,φωνάζω,"кричать, звать",
A2,5,Урок 5,το τουριστικό γραφείο,туристическая фирма,
A2,5,Урок 5,η οδός (στην οδό),улица (на улице),
A2,5,Урок 5,το κέντρο,центр,
A2,5,Урок 5,η μέρα,день,
A2,5,Урок 5,ο πολιτικός,политик,
A2,5,Урок 5,ο κόσμος,"мир, люди",
A2,5,Урок 5,το εκατομμύριο,миллион,
A2,5,Урок 5,ο ποδοσφαιριστής,футболист,
A2,5,Урок 5,η λέξη,слово,
A2,5,Урок 5,το ποτό,напиток,
A2,5,Урок 5,η βοήθεια,помощь,
A2,5,Урок 5,το φαγητό,еда,
A2,5,Урок 5,το ταξί,такси,
A2,5,Урок 5,ο ταξιτζής,таксист,
A2,5,Урок 5,ο άνθρωπος,человек,
A2,5,Урок 5,η σχέση (έχω σχέση),"связь, отношения",
A2,5,Урок 5,ο δεσμός (έχω δεσμό),"узел, связь, отношения",
A2,5,Урок 5,η κοπέλα,девушка,
A2,5,Урок 5,το μοναχοπαίδι,единственный ребёнок в семье,
A2,5,Урок 5,το κουδούνι,звонок,
A2,5,Урок 5,ο συμφοιτητής / η συμφοιτήτρια,однокурсник / однокурсница,
A2,5,Урок 5,ο κήπος,сад,
A2,5,Урок 5,η ζακέτα,жакет,
A2,5,Урок 5,η άσκηση,упражнение,
A2,5,Урок 5,η έγκυος,женщина в положении,
A2,5,Урок 5,το σαλόνι,зал,
A2,5,Урок 5,η ταινία,фильм,
A2,5,Урок 5,το ρεπορτάζ,репортаж,
A2,5,Урок 5,η ηλικία,возраст,
A2,5,Урок 5,ο τόπος,место,
A2,5,Урок 5,η κατοικία,дом,
A2,5,Урок 5,η απάντηση,ответ,
A2,5,Урок 5,η μουσική,музыка,
A2,5,Урок 5,η Φιλοσοφική σχολή,философский факультет,
A2,5,Урок 5,ο / η ψυχολόγος,психолог,
A2,5,Урок 5,ο / η φιλόλογος,филолог,
A2,5,Урок 5,το τσάι,чай,
A2,5,Урок 5,μήπως,может быть (вопрос),
A2,5,Урок 5,ίσως,может быть (утверждение),
A2,5,Урок 5,μια μέρα,"однажды, когда-нибудь, как-нибудь",
A2,5,Урок 5,πόσα,сколько,
A2,5,Урок 5,ακόμα,ещё,
A2,5,Урок 5,σωστά,правильно,
A2,5,Урок 5,σε λίγο,скоро,
A2,5,Урок 5,συμπληρώνω,заполнять,
A2,5,Урок 5,πάω,идти,
A2,5,Урок 5,τρώω,кушать,
A2,5,Урок 5,πίνω,пить,
A2,5,Урок 5,φτιάχνω,делать (что-лобо вещественное),
A2,5,Урок 5,σερβίρω,сервировать,
A2,5,Урок 5,ανοίγω,открывать,
A2,5,Урок 5,κλείνω,закрывать,
A2,5,Урок 5,αρχίζω,начинать,
A2,5,Урок 5,τελειώνω,заканчивать,
A2,5,Урок 5,φωτογραφίζω,фотографировать,
A2,5,Урок 5,κουρεύω,стричь,
A2,5,Урок 5,μεγάλος,большой,
A2,5,Урок 5,μικρός,маленький,
A2,5,Урок 5,όμορφος,красивый,
A2,5,Урок 5,άσχημος,"некрасивый, плохой",
A2,5,Урок 5,ακριβός,дорогой,
A2,5,Урок 5,φτηνός,дешёвый,
A2,5,Урок 5,καθαρός,чистый,
A2,5,Урок 5,καλός,хороший,
A2,5,Урок 5,ζεστός,горячий,
A2,5,Урок 5,έξυπνος,умный,
A2,5,Урок 5,εύκολος,лёгкий,
A2,5,Урок 5,δύσκολος,трудный,
A2,5,Урок 5,γεμάτος,полный,
A2,5,Урок 5,έτοιμος,готовый,
A2,5,Урок 5,ανοικτός,открытый,
A2,5,Урок 5,κλειστός,закрытый,
A2,5,Урок 5,γρήγορος,быстрый,
A2,5,Урок 5,ευγενικός,вежливый,
A2,5,Урок 5,δυνατός,"сильный, крепкий, реальный, громкий",
A2,5,Урок 5,βρώμικος,грязный,
A2,5,Урок 5,αυστηρός,строгий,
A2,5,Урок 5,ψηλός,высокий,
A2,5,Урок 5,χαμηλός,низкий (о предметах),
A2,5,Урок 5,κοντός,низкий (о людях),
A2,5,Урок 5,νέος,"новый, молодой",
A2,5,Урок 5,ωραίος,прекрасный,
A2,5,Урок 5,παλιός,старый,
A2,5,Урок 5,καινούργιος,новый,
A2,5,Урок 5,κρύος,холодный,
A2,5,Урок 5,άδειος,пустой,
A2,5,Урок 5,μοντέρνος,современный,
A2,5,Урок 5,σκούρος,тёмный,
A2,5,Урок 5,γκρίζος,серый,
A2,6,Урок 6,τα μέσα μαζικής μεταφοράς,"средства массовой перевозки, общественный транспорт",
A2,6,Урок 6,το τρόλεϊ,троллейбус,
A2,6,Урок 6,το τραμ,трамвай,
A2,6,Урок 6,η μηχανή (το μηχανάκι),мотоцикл,
A2,6,Урок 6,ο ηλεκτρικός (σιδηρόδρομος),метро,
A2,6,Урок 6,ο προαστιακός,пригородный поезд,
A2,6,Урок 6,το αεροπλάνο,самолёт,
A2,6,Урок 6,το πλοίο,"теплоход, корабль",
A2,6,Урок 6,το πόδι (τα πόδια),нога (ноги),
A2,6,Урок 6,η διαδρομή,"маршрут, дорога (выбранная)",
A2,6,Урок 6,το βαγόνι,вагон,
A2,6,Урок 6,η πλατφόρμα,"платформа, перрон",
A2,6,Урок 6,ο επιβάτης,пассажир,
A2,6,Урок 6,η λαϊκή,рынок,
A2,6,Урок 6,η γραμμή,линия,
A2,6,Урок 6,το ταξιδιωτικό γραφείο,туристическая фирма,
A2,6,Урок 6,η επιστροφή,"возврат, возвращение",
A2,6,Урок 6,ο σκύλος,собака,
A2,6,Урок 6,η βόλτα,прогулка,
A2,6,Урок 6,το στέκι,любимое место (посещения),
A2,6,Урок 6,το πράσινο,"зелень (парки, скверы)",
A2,6,Урок 6,ο πελάτης,клиент,
A2,6,Урок 6,η ιδέα,идея,
A2,6,Урок 6,η παραλία,"пляж, набережная",
A2,6,Урок 6,το λούνα παρκ,лунапарк,
A2,6,Урок 6,η βαλίτσα,чемодан,
A2,6,Урок 6,η γειτονιά,"округа, соседство",
A2,6,Урок 6,ο γείτονας // η γειτόνισσα,"сосед, соседка",
A2,6,Урок 6,το δώρο,подарок,
A2,6,Урок 6,η αστυνομία,полиция,
A2,6,Урок 6,ο αστυνομικός,полицейский,
A2,6,Урок 6,ο φάκελος,конверт,
A2,6,Урок 6,το φως,свет (τα φώτα – светофор),
A2,6,Урок 6,τα νέα,новости,
A2,6,Урок 6,η τηλεόραση,телевизор,
A2,6,Урок 6,ο διευθυντής,директор,
A2,6,Урок 6,το ραντεβού,приём,
A2,6,Урок 6,το ταξίδι,поездка,
A2,6,Урок 6,το τηλεφώνημα,телефонный звонок,
A2,6,Урок 6,το τέλος,конец,
A2,6,Урок 6,το νησί,остров,
A2,6,Урок 6,η θέση,место,
A2,6,Урок 6,το ταξίδι,"путешествие, поездка",
A2,6,Урок 6,το φάρμακο,лекарство,
A2,6,Урок 6,συμφωνώ (2),соглашаться,
A2,6,Урок 6,χρησιμοποιώ (2),использовать,
A2,6,Урок 6,πληροφορώ (2),информировать,
A2,6,Урок 6,διαρκώ (2),длиться,
A2,6,Урок 6,κυκλοφορώ (2),"циркулировать, передвигаться, ездить",
A2,6,Урок 6,ενοχλώ (2),"мешать, беспокоить",
A2,6,Урок 6,ακολουθώ (2),следовать,
A2,6,Урок 6,μισώ (2),ненавидеть,
A2,6,Урок 6,λειτουργώ (2),"действовать, функционировать, работать (об аппаратах)",
A2,6,Урок 6,ξεκινώ / ξεκινάω (1),"начинать, выезжать",
A2,6,Урок 6,περνώ / περνάω (1),"проводить, проходить",
A2,6,Урок 6,βάζω,"класть, ставить",
A2,6,Урок 6,δείχνω,показывать,
A2,6,Урок 6,φέρνω,приносить,
A2,6,Урок 6,βγάζω,"доставать, снимать",
A2,6,Урок 6,συγχωρώ (2),прощать,
A2,6,Урок 6,αργώ (2),опаздывать,
A2,6,Урок 6,φεύγω,"уходить, уезжать",
A2,6,Урок 6,φτάνω,"прибывать, успевать, хватать",
A2,6,Урок 6,λέω,"говорить, рассказывать",
A2,6,Урок 6,παίρνω,"брать, получать, принимать, относить, отвозить",
A2,6,Урок 6,αποφασίζω,решать (принимать решение),
A2,6,Урок 6,μπαίνω,входить,
A2,6,Урок 6,βγαίνω,выходить,
A2,6,Урок 6,λατρεύω,обожать,
A2,6,Урок 6,τηλεφωνώ (2),звонить,
A2,6,Урок 6,κοστίζω,стоить,
A2,6,Урок 6,προτιμώ / προτιμάω (1),предпочитать,
A2,6,Урок 6,ανεβαίνω,подниматься,
A2,6,Урок 6,περπατώ / περπατάω (1),ходить пешком,
A2,6,Урок 6,κατεβαίνω,"спускаться, выходить из транспорта",
A2,6,Урок 6,οδηγώ (2),водить,
A2,6,Урок 6,ζω (2),жить,
A2,6,Урок 6,συνδέω,"связывать, соединять",
A2,6,Урок 6,μπορώ (2),мочь,
A2,6,Урок 6,εξηγώ (2),объяснять,
A2,6,Урок 6,επιστρέφω,возвращаться,
A2,6,Урок 6,ανάβω,"включать, зажигать",
A2,6,Урок 6,σβήνω,"тушить, выключать",
A2,6,Урок 6,αναχωρώ,отправляться,
A2,6,Урок 6,θερινός,летний,
A2,6,Урок 6,άνετος,удобный,
A2,6,Урок 6,οικολογικός,экологический,
A2,6,Урок 6,ιδανικός,идеальный,
A2,6,Урок 6,επόμενος,следующий,
A2,6,Урок 6,μειωμένος,сниженный,
A2,6,Урок 6,άλλος,другой,
A2,6,Урок 6,καταπληκτικός,удивительный,
A2,6,Урок 6,αργός,медленный,
A2,6,Урок 6,αγαπημένος,любимый,
A2,6,Урок 6,φανταστικός,фантастический,
A2,6,Урок 6,τέλειος,"идеальный, совершенный",
A2,6,Урок 6,κανονικός,нормальный,
A2,6,Урок 6,κεντρικός,центральный,
A2,6,Урок 6,μαύρος,чёрный,
A2,6,Урок 6,απλός,простой,
A2,6,Урок 6,φτωχός,бедный,
A2,6,Урок 6,περίπου,"приблизительно, примерно",
A2,6,Урок 6,όμως,однако,
A2,6,Урок 6,σίγουρα,"точно, конечно",
A2,6,Урок 6,δεν πειράζει,ничего страшного,
A2,6,Урок 6,εντάξει,хорошо,
